Date,NAO_index
1872-02-01,0.449
1872-03-01,-1.199
1872-04-01,-0.728
1872-05-01,0.017
1872-06-01,-0.345
1872-07-01,-3.606
1872-08-01,-1.425
1872-09-01,-2.53
1872-10-01,-0.911
1872-11-01,0.667
1872-12-01,-1.089
1873-01-01,2.298
1873-02-01,0.176
1873-03-01,-0.391
1873-04-01,-2.169
1873-05-01,-0.925
1873-06-01,0.78
1873-07-01,-0.124
1873-08-01,3.438
1873-09-01,-0.571
1873-10-01,-0.815
1873-11-01,-2.23
1873-12-01,2.009
1874-01-01,1.564
1874-02-01,2.071
1874-03-01,1.466
1874-04-01,2.991
1874-05-01,-1.85
1874-06-01,-0.761
1874-07-01,0.178
1874-08-01,0.821
1874-09-01,0.738
1874-10-01,0.863
1874-11-01,-0.343
1874-12-01,-2.122
1875-01-01,2.06
1875-02-01,-1.467
1875-03-01,-0.614
1875-04-01,-0.405
1875-05-01,0.893
1875-06-01,1.456
1875-07-01,-1.44
1875-08-01,1.707
1875-09-01,-0.014
1875-10-01,-0.755
1875-11-01,-2.8
1875-12-01,0.076
1876-01-01,1.097
1876-02-01,0.747
1876-03-01,-0.29
1876-04-01,-0.673
1876-05-01,-1.452
1876-06-01,1.705
1876-07-01,3.481
1876-08-01,1.016
1876-09-01,-2.615
1876-10-01,-2.192
1876-11-01,-2.348
1876-12-01,-1.129
1877-01-01,2.389
1877-02-01,1.959
1877-03-01,-0.446
1877-04-01,-2.3
1877-05-01,-1.732
1877-06-01,-0.318
1877-07-01,1.176
1877-08-01,-1.834
1877-09-01,-3.735
1877-10-01,1.252
1877-11-01,2.062
1877-12-01,2.159
1878-01-01,1.18
1878-02-01,2.202
1878-03-01,-0.007
1878-04-01,0.447
1878-05-01,0.278
1878-06-01,-1.542
1878-07-01,-1.933
1878-08-01,-2.459
1878-09-01,-0.946
1878-10-01,-1.436
1878-11-01,-3.475
1878-12-01,-3.31
1879-01-01,-0.707
1879-02-01,0.855
1879-03-01,-0.083
1879-04-01,0.099
1879-05-01,0.631
1879-06-01,-0.495
1879-07-01,-1.567
1879-08-01,-0.288
1879-09-01,1.901
1879-10-01,-1.879
1879-11-01,-3.375
1879-12-01,0.579
1880-01-01,0.419
1880-02-01,1.915
1880-03-01,0.063
1880-04-01,1.658
1880-05-01,-1.785
1880-06-01,0.453
1880-07-01,-1.897
1880-08-01,-0.426
1880-09-01,0.924
1880-10-01,-3.203
1880-11-01,1.193
1880-12-01,0.521
1881-01-01,-3.597
1881-02-01,-1.616
1881-03-01,-0.51
1881-04-01,-1.424
1881-05-01,0.823
1881-06-01,0.005
1881-07-01,2.098
1881-08-01,0.424
1881-09-01,-0.248
1881-10-01,-2.038
1881-11-01,4.337
1881-12-01,2.771
1882-01-01,3.066
1882-02-01,3.196
1882-03-01,3.608
1882-04-01,-0.425
1882-05-01,-0.677
1882-06-01,-0.641
1882-07-01,1.597
1882-08-01,2.055
1882-09-01,0.396
1882-10-01,0.652
1882-11-01,2.006
1882-12-01,-1.694
1883-01-01,1.668
1883-02-01,4.252
1883-03-01,-3.043
1883-04-01,0.879
1883-05-01,-0.537
1883-06-01,-1.745
1883-07-01,-2.247
1883-08-01,3.005
1883-09-01,0.469
1883-10-01,1.683
1883-11-01,2.362
1883-12-01,0.906
1884-01-01,3.323
1884-02-01,1.476
1884-03-01,0.193
1884-04-01,-2.364
1884-05-01,-0.17
1884-06-01,0.5
1884-07-01,-0.804
1884-08-01,2.164
1884-09-01,1.602
1884-10-01,0.272
1884-11-01,-1.157
1884-12-01,1.941
1885-01-01,-0.803
1885-02-01,0.091
1885-03-01,-1.063
1885-04-01,0.358
1885-05-01,0.323
1885-06-01,1.592
1885-07-01,3.072
1885-08-01,-1.025
1885-09-01,1.403
1885-10-01,-0.839
1885-11-01,-0.76
1885-12-01,-0.026
1886-01-01,-1.406
1886-02-01,-0.386
1886-03-01,0.563
1886-04-01,-1.374
1886-05-01,-0.666
1886-06-01,-1.17
1886-07-01,-1.587
1886-08-01,2.429
1886-09-01,-0.341
1886-10-01,-0.547
1886-11-01,0.548
1886-12-01,0.124
1887-01-01,1.898
1887-02-01,2.027
1887-03-01,-0.847
1887-04-01,-2.107
1887-05-01,0.437
1887-06-01,0.058
1887-07-01,0.579
1887-08-01,-1.191
1887-09-01,-2.56
1887-10-01,-1.141
1887-11-01,-3.255
1887-12-01,-1.625
1888-01-01,0.206
1888-02-01,-2.251
1888-03-01,-1.495
1888-04-01,-2.247
1888-05-01,0.966
1888-06-01,-1.699
1888-07-01,-0.005
1888-08-01,3.999
1888-09-01,-0.417
1888-10-01,-0.89
1888-11-01,2.699
1888-12-01,1.248
1889-01-01,0.65
1889-02-01,-0.198
1889-03-01,0.114
1889-04-01,1.051
1889-05-01,-0.391
1889-06-01,1.891
1889-07-01,-1.03
1889-08-01,3.777
1889-09-01,-1.983
1889-10-01,-1.228
1889-11-01,2.696
1889-12-01,2.303
1890-01-01,4.323
1890-02-01,-1.366
1890-03-01,0.498
1890-04-01,-0.081
1890-05-01,-1.143
1890-06-01,1.231
1890-07-01,0.297
1890-08-01,0.99
1890-09-01,2.498
1890-10-01,0.852
1890-11-01,1.898
1890-12-01,-2.746
1891-01-01,0.275
1891-02-01,2.807
1891-03-01,-1.172
1891-04-01,-0.924
1891-05-01,-1.775
